Process 1 has a clock rate of 20

Internal event	 System time: 13:48:08	 Logical clock time: 183
Internal event	 System time: 13:48:08	 Logical clock time: 184
Internal event	 System time: 13:48:08	 Logical clock time: 185
Internal event	 System time: 13:48:08	 Logical clock time: 186
Sent message:'186'	 System time: 13:48:08	 Logical clock time: 187
Sent message:'187'	 System time: 13:48:08	 Logical clock time: 188
Internal event	 System time: 13:48:08	 Logical clock time: 189
Internal event	 System time: 13:48:08	 Logical clock time: 190
Internal event	 System time: 13:48:08	 Logical clock time: 191
Received message	 System time: 13:48:08	 Logical clock time: 192
Received message	 System time: 13:48:08	 Logical clock time: 193
Internal event	 System time: 13:48:08	 Logical clock time: 194
Internal event	 System time: 13:48:08	 Logical clock time: 195
Received message	 System time: 13:48:08	 Logical clock time: 196
Received message	 System time: 13:48:08	 Logical clock time: 197
Received message	 System time: 13:48:08	 Logical clock time: 198
Internal event	 System time: 13:48:08	 Logical clock time: 199
Received message	 System time: 13:48:08	 Logical clock time: 200
Received message	 System time: 13:48:09	 Logical clock time: 201
Internal event	 System time: 13:48:09	 Logical clock time: 202
Internal event	 System time: 13:48:09	 Logical clock time: 203
Internal event	 System time: 13:48:09	 Logical clock time: 204
Sent message:'204'	 System time: 13:48:09	 Logical clock time: 205
Internal event	 System time: 13:48:09	 Logical clock time: 206
Internal event	 System time: 13:48:09	 Logical clock time: 207
Received message	 System time: 13:48:09	 Logical clock time: 208
Sent message:'208'	 System time: 13:48:09	 Logical clock time: 209
Sent message:'209'	 System time: 13:48:09	 Logical clock time: 210
Internal event	 System time: 13:48:09	 Logical clock time: 211
Sent message:'211'	 System time: 13:48:09	 Logical clock time: 212
Internal event	 System time: 13:48:09	 Logical clock time: 213
Sent message:'213'	 System time: 13:48:09	 Logical clock time: 214
Sent message:'214'	 System time: 13:48:09	 Logical clock time: 215
Internal event	 System time: 13:48:09	 Logical clock time: 216
Received message	 System time: 13:48:09	 Logical clock time: 217
Sent message:'217'	 System time: 13:48:09	 Logical clock time: 218
Internal event	 System time: 13:48:10	 Logical clock time: 219
Internal event	 System time: 13:48:10	 Logical clock time: 220
Internal event	 System time: 13:48:10	 Logical clock time: 221
Received message	 System time: 13:48:10	 Logical clock time: 222
Internal event	 System time: 13:48:10	 Logical clock time: 223
Sent message:'223'	 System time: 13:48:10	 Logical clock time: 224
Internal event	 System time: 13:48:10	 Logical clock time: 225
Internal event	 System time: 13:48:10	 Logical clock time: 226
Internal event	 System time: 13:48:10	 Logical clock time: 227
Internal event	 System time: 13:48:10	 Logical clock time: 228
Internal event	 System time: 13:48:10	 Logical clock time: 229
Received message	 System time: 13:48:10	 Logical clock time: 230
Received message	 System time: 13:48:10	 Logical clock time: 231
Internal event	 System time: 13:48:10	 Logical clock time: 232
Received message	 System time: 13:48:10	 Logical clock time: 233
Received message	 System time: 13:48:10	 Logical clock time: 234
Sent message:'234'	 System time: 13:48:10	 Logical clock time: 235
Internal event	 System time: 13:48:10	 Logical clock time: 236
Internal event	 System time: 13:48:11	 Logical clock time: 237
Internal event	 System time: 13:48:11	 Logical clock time: 238
Internal event	 System time: 13:48:11	 Logical clock time: 239
Received message	 System time: 13:48:11	 Logical clock time: 240
Received message	 System time: 13:48:11	 Logical clock time: 241
Internal event	 System time: 13:48:11	 Logical clock time: 242
Sent message:'242'	 System time: 13:48:11	 Logical clock time: 243
Internal event	 System time: 13:48:11	 Logical clock time: 244
Sent message:'244'	 System time: 13:48:11	 Logical clock time: 245
Internal event	 System time: 13:48:11	 Logical clock time: 246
Internal event	 System time: 13:48:11	 Logical clock time: 247
Sent message:'247'	 System time: 13:48:11	 Logical clock time: 248
Internal event	 System time: 13:48:11	 Logical clock time: 249
Internal event	 System time: 13:48:11	 Logical clock time: 250
Internal event	 System time: 13:48:11	 Logical clock time: 251
Internal event	 System time: 13:48:11	 Logical clock time: 252
Internal event	 System time: 13:48:11	 Logical clock time: 253
Sent message:'253'	 System time: 13:48:11	 Logical clock time: 254
Internal event	 System time: 13:48:12	 Logical clock time: 255
Internal event	 System time: 13:48:12	 Logical clock time: 256
Sent message:'256'	 System time: 13:48:12	 Logical clock time: 257
Sent message:'257'	 System time: 13:48:12	 Logical clock time: 258
Internal event	 System time: 13:48:12	 Logical clock time: 259
Internal event	 System time: 13:48:12	 Logical clock time: 260
Internal event	 System time: 13:48:12	 Logical clock time: 261
Internal event	 System time: 13:48:12	 Logical clock time: 262
Received message	 System time: 13:48:12	 Logical clock time: 263
Internal event	 System time: 13:48:12	 Logical clock time: 264
Sent message:'264'	 System time: 13:48:12	 Logical clock time: 265
Internal event	 System time: 13:48:12	 Logical clock time: 266
Sent message:'266'	 System time: 13:48:12	 Logical clock time: 267
Internal event	 System time: 13:48:12	 Logical clock time: 268
Internal event	 System time: 13:48:12	 Logical clock time: 269
Internal event	 System time: 13:48:12	 Logical clock time: 270
Internal event	 System time: 13:48:12	 Logical clock time: 271
Internal event	 System time: 13:48:12	 Logical clock time: 272
Received message	 System time: 13:48:13	 Logical clock time: 273
Received message	 System time: 13:48:13	 Logical clock time: 274
Internal event	 System time: 13:48:13	 Logical clock time: 275
Sent message:'275'	 System time: 13:48:13	 Logical clock time: 276
Internal event	 System time: 13:48:13	 Logical clock time: 277
Internal event	 System time: 13:48:13	 Logical clock time: 278
Sent message:'278'	 System time: 13:48:13	 Logical clock time: 279
Sent message:'279'	 System time: 13:48:13	 Logical clock time: 280
Internal event	 System time: 13:48:13	 Logical clock time: 281
Internal event	 System time: 13:48:13	 Logical clock time: 282
Internal event	 System time: 13:48:13	 Logical clock time: 283
Internal event	 System time: 13:48:13	 Logical clock time: 284
Internal event	 System time: 13:48:13	 Logical clock time: 285
Internal event	 System time: 13:48:13	 Logical clock time: 286
Sent message:'286'	 System time: 13:48:13	 Logical clock time: 287
Sent message:'287'	 System time: 13:48:13	 Logical clock time: 288
Internal event	 System time: 13:48:13	 Logical clock time: 289
Internal event	 System time: 13:48:13	 Logical clock time: 290
Internal event	 System time: 13:48:14	 Logical clock time: 291
Sent message:'291'	 System time: 13:48:14	 Logical clock time: 292
Sent message:'292'	 System time: 13:48:14	 Logical clock time: 293
Internal event	 System time: 13:48:14	 Logical clock time: 294
Internal event	 System time: 13:48:14	 Logical clock time: 295
Internal event	 System time: 13:48:14	 Logical clock time: 296
Internal event	 System time: 13:48:14	 Logical clock time: 297
Internal event	 System time: 13:48:14	 Logical clock time: 298
Sent message:'298'	 System time: 13:48:14	 Logical clock time: 299
Internal event	 System time: 13:48:14	 Logical clock time: 300
Sent message:'300'	 System time: 13:48:14	 Logical clock time: 301
Internal event	 System time: 13:48:14	 Logical clock time: 302
Internal event	 System time: 13:48:14	 Logical clock time: 303
Internal event	 System time: 13:48:14	 Logical clock time: 304
Sent message:'304'	 System time: 13:48:14	 Logical clock time: 305
Internal event	 System time: 13:48:14	 Logical clock time: 306
Internal event	 System time: 13:48:14	 Logical clock time: 307
Internal event	 System time: 13:48:14	 Logical clock time: 308
Sent message:'308'	 System time: 13:48:14	 Logical clock time: 309
Internal event	 System time: 13:48:15	 Logical clock time: 310
Received message	 System time: 13:48:15	 Logical clock time: 311
Internal event	 System time: 13:48:15	 Logical clock time: 312
Sent message:'312'	 System time: 13:48:15	 Logical clock time: 313
Internal event	 System time: 13:48:15	 Logical clock time: 314
Internal event	 System time: 13:48:15	 Logical clock time: 315
Internal event	 System time: 13:48:15	 Logical clock time: 316
Internal event	 System time: 13:48:15	 Logical clock time: 317
Received message	 System time: 13:48:15	 Logical clock time: 318
Received message	 System time: 13:48:15	 Logical clock time: 319
Received message	 System time: 13:48:15	 Logical clock time: 320
Sent message:'320'	 System time: 13:48:15	 Logical clock time: 321
Internal event	 System time: 13:48:15	 Logical clock time: 322
Received message	 System time: 13:48:15	 Logical clock time: 323
Sent message:'323'	 System time: 13:48:15	 Logical clock time: 324
Internal event	 System time: 13:48:15	 Logical clock time: 325
Sent message:'325'	 System time: 13:48:15	 Logical clock time: 326
Internal event	 System time: 13:48:15	 Logical clock time: 327
Internal event	 System time: 13:48:16	 Logical clock time: 328
Internal event	 System time: 13:48:16	 Logical clock time: 329
Internal event	 System time: 13:48:16	 Logical clock time: 330
Sent message:'330'	 System time: 13:48:16	 Logical clock time: 331
Internal event	 System time: 13:48:16	 Logical clock time: 332
Internal event	 System time: 13:48:16	 Logical clock time: 333
Sent message:'333'	 System time: 13:48:16	 Logical clock time: 334
Internal event	 System time: 13:48:16	 Logical clock time: 335
Internal event	 System time: 13:48:16	 Logical clock time: 336
Internal event	 System time: 13:48:16	 Logical clock time: 337
Internal event	 System time: 13:48:16	 Logical clock time: 338
Internal event	 System time: 13:48:16	 Logical clock time: 339
Internal event	 System time: 13:48:16	 Logical clock time: 340
Received message	 System time: 13:48:16	 Logical clock time: 341
Sent message:'341'	 System time: 13:48:16	 Logical clock time: 342
Internal event	 System time: 13:48:16	 Logical clock time: 343
Sent message:'343'	 System time: 13:48:16	 Logical clock time: 344
Sent message:'344'	 System time: 13:48:16	 Logical clock time: 345
Sent message:'345'	 System time: 13:48:17	 Logical clock time: 346
Internal event	 System time: 13:48:17	 Logical clock time: 347
Internal event	 System time: 13:48:17	 Logical clock time: 348
Internal event	 System time: 13:48:17	 Logical clock time: 349
Sent message:'349'	 System time: 13:48:17	 Logical clock time: 350
Sent message:'350'	 System time: 13:48:17	 Logical clock time: 351
Sent message:'351'	 System time: 13:48:17	 Logical clock time: 352
Sent message:'352'	 System time: 13:48:17	 Logical clock time: 353
Sent message:'353'	 System time: 13:48:17	 Logical clock time: 354
Sent message:'354'	 System time: 13:48:17	 Logical clock time: 355
Internal event	 System time: 13:48:17	 Logical clock time: 356
Internal event	 System time: 13:48:17	 Logical clock time: 357
Received message	 System time: 13:48:17	 Logical clock time: 358
Internal event	 System time: 13:48:17	 Logical clock time: 359
Sent message:'359'	 System time: 13:48:17	 Logical clock time: 360
Received message	 System time: 13:48:17	 Logical clock time: 361
Sent message:'361'	 System time: 13:48:17	 Logical clock time: 362
Internal event	 System time: 13:48:17	 Logical clock time: 363
Sent message:'363'	 System time: 13:48:18	 Logical clock time: 364
Internal event	 System time: 13:48:18	 Logical clock time: 365
Internal event	 System time: 13:48:18	 Logical clock time: 366
Internal event	 System time: 13:48:18	 Logical clock time: 367
Internal event	 System time: 13:48:18	 Logical clock time: 368
Internal event	 System time: 13:48:18	 Logical clock time: 369
Sent message:'369'	 System time: 13:48:18	 Logical clock time: 370
Sent message:'370'	 System time: 13:48:18	 Logical clock time: 371
Internal event	 System time: 13:48:18	 Logical clock time: 372
Internal event	 System time: 13:48:18	 Logical clock time: 373
Internal event	 System time: 13:48:18	 Logical clock time: 374
Internal event	 System time: 13:48:18	 Logical clock time: 375
Sent message:'375'	 System time: 13:48:18	 Logical clock time: 376
Internal event	 System time: 13:48:18	 Logical clock time: 377
Received message	 System time: 13:48:18	 Logical clock time: 378
Internal event	 System time: 13:48:18	 Logical clock time: 379
Internal event	 System time: 13:48:18	 Logical clock time: 380
Sent message:'380'	 System time: 13:48:18	 Logical clock time: 381
Internal event	 System time: 13:48:19	 Logical clock time: 382
Internal event	 System time: 13:48:19	 Logical clock time: 383
Sent message:'383'	 System time: 13:48:19	 Logical clock time: 384
Internal event	 System time: 13:48:19	 Logical clock time: 385
Received message	 System time: 13:48:19	 Logical clock time: 386
Sent message:'386'	 System time: 13:48:19	 Logical clock time: 387
Internal event	 System time: 13:48:19	 Logical clock time: 388
Received message	 System time: 13:48:19	 Logical clock time: 389
Internal event	 System time: 13:48:19	 Logical clock time: 390
Internal event	 System time: 13:48:19	 Logical clock time: 391
Sent message:'391'	 System time: 13:48:19	 Logical clock time: 392
Internal event	 System time: 13:48:19	 Logical clock time: 393
Received message	 System time: 13:48:19	 Logical clock time: 394
Internal event	 System time: 13:48:19	 Logical clock time: 395
Received message	 System time: 13:48:19	 Logical clock time: 396
Sent message:'396'	 System time: 13:48:19	 Logical clock time: 397
Internal event	 System time: 13:48:19	 Logical clock time: 398
Internal event	 System time: 13:48:19	 Logical clock time: 399
Internal event	 System time: 13:48:20	 Logical clock time: 400
Internal event	 System time: 13:48:20	 Logical clock time: 401
Internal event	 System time: 13:48:20	 Logical clock time: 402
Sent message:'402'	 System time: 13:48:20	 Logical clock time: 403
Internal event	 System time: 13:48:20	 Logical clock time: 404
Sent message:'404'	 System time: 13:48:20	 Logical clock time: 405
Sent message:'405'	 System time: 13:48:20	 Logical clock time: 406
Internal event	 System time: 13:48:20	 Logical clock time: 407
Internal event	 System time: 13:48:20	 Logical clock time: 408
Internal event	 System time: 13:48:20	 Logical clock time: 409
Received message	 System time: 13:48:20	 Logical clock time: 410
Sent message:'410'	 System time: 13:48:20	 Logical clock time: 411
Internal event	 System time: 13:48:20	 Logical clock time: 412
Internal event	 System time: 13:48:20	 Logical clock time: 413
Sent message:'413'	 System time: 13:48:20	 Logical clock time: 414
Internal event	 System time: 13:48:20	 Logical clock time: 415
